config_id,nov_auc,cv_mean,cv_std,cv_fold_1,cv_fold_2,cv_fold_3,feature_count,runtime_sec,ensemble_models,weights,weight_strategy
hp_cat_d5_l22.0_lr0.03,0.6123140884132453,0.6200101007210124,0.0064273092420496555,0.6283811228053541,0.6188921535472889,0.6127570258103943,92,128.01233839988708,cat,1.000,optimize
hp_cat_d5_l22.0_lr0.05,0.6135154016480273,0.6213963781815659,0.0058103671228866205,0.6283843188097461,0.6216463447642269,0.6141584709707247,92,85.56989765167236,cat,1.000,optimize
hp_cat_d5_l22.0_lr0.1,0.6134853291942064,0.6204771406915732,0.005341802350602916,0.627145618095893,0.6202171230875808,0.6140686808912459,92,62.72486710548401,cat,1.000,optimize
hp_cat_d5_l23.0_lr0.03,0.6126260700927949,0.6201778731486538,0.006558431779441863,0.6285753408418038,0.6193896294963567,0.6125686491078008,92,80.95580077171326,cat,1.000,optimize
hp_cat_d5_l23.0_lr0.05,0.6141447830420516,0.6212359404243601,0.006031562344773093,0.6286068660877452,0.6212682333171559,0.6138327218681793,92,79.24078154563904,cat,1.000,optimize
hp_cat_d5_l23.0_lr0.1,0.613234297302315,0.6203872855147595,0.00554153216218462,0.6272542000706355,0.6202244522473912,0.613683204226252,92,58.88247513771057,cat,1.000,optimize
hp_cat_d5_l25.0_lr0.03,0.6126080857444047,0.6202106005621749,0.006518126336434111,0.6285855847204557,0.6193583276164625,0.6126878893496066,92,79.68840670585632,cat,1.000,optimize
hp_cat_d5_l25.0_lr0.05,0.6138166441414328,0.6214606422512658,0.006321967943946457,0.6293176761834839,0.6212268758000646,0.6138373747702491,92,75.46405935287476,cat,1.000,optimize
hp_cat_d5_l25.0_lr0.1,0.6132651435836827,0.6207423186613271,0.005670689927662424,0.6278364563222891,0.620434075932851,0.6139564237288412,92,52.19832968711853,cat,1.000,optimize
hp_cat_d6_l22.0_lr0.03,0.6139307085575778,0.6216565019113612,0.00646455440100441,0.629924371080132,0.6209015390583442,0.6141435955956076,92,85.72658276557922,cat,1.000,optimize
hp_cat_d6_l22.0_lr0.05,0.6141741437732654,0.622025061591457,0.006202391601171691,0.6299634350786377,0.6212871535645584,0.6148245961311746,92,71.77891421318054,cat,1.000,optimize
hp_cat_d6_l22.0_lr0.1,0.6130686398287019,0.6185778532677518,0.004192059174287912,0.6226860466289015,0.6202253914505385,0.6128221217238158,92,46.86556649208069,cat,1.000,optimize
hp_cat_d6_l23.0_lr0.03,0.6143510000095753,0.621805070598643,0.006679145209339793,0.6304309141702078,0.6208257036872161,0.6141585939385049,92,85.49821662902832,cat,1.000,optimize
hp_cat_d6_l23.0_lr0.05,0.6145928130442423,0.6214747349048356,0.006382756351603116,0.6294636983792783,0.6211191698908864,0.613841336444342,92,72.9712016582489,cat,1.000,optimize
hp_cat_d6_l23.0_lr0.1,0.6155073828048024,0.6193651905425422,0.004114831271407991,0.6241862784862792,0.6197769838764013,0.6141323092649462,92,56.17202138900757,cat,1.000,optimize
hp_cat_d6_l25.0_lr0.03,0.6143675522180598,0.6218625005766801,0.006304493966145068,0.6299380823051863,0.6210971248852625,0.6145522945395918,92,86.11472511291504,cat,1.000,optimize
hp_cat_d6_l25.0_lr0.05,0.6149720506470104,0.6216142689025269,0.005988880863407916,0.6290962515328111,0.621310572008035,0.6144359831667344,92,74.63373351097107,cat,1.000,optimize
hp_cat_d6_l25.0_lr0.1,0.6138016234407572,0.6206538254447694,0.005123793799777039,0.6270457158116824,0.6204138399205391,0.6145019206020865,92,52.68503379821777,cat,1.000,optimize
hp_cat_d7_l22.0_lr0.03,0.6146921387161373,0.6220942352985166,0.006348647169876942,0.6298429613951354,0.6221474560164767,0.6142922884839377,92,88.38404130935669,cat,1.000,optimize
hp_cat_d7_l22.0_lr0.05,0.6136679568425472,0.6211050192248272,0.006014100568203255,0.6286417565360594,0.6207501973306903,0.613923103807732,92,65.1551878452301,cat,1.000,optimize
hp_cat_d7_l22.0_lr0.1,0.612421152360606,0.6198961599614032,0.00717129268627852,0.629360558365382,0.6183199123316789,0.6120080091871489,92,48.13767075538635,cat,1.000,optimize
hp_cat_d7_l23.0_lr0.03,0.614653416286338,0.6218973206507082,0.005882534717502501,0.6293345473020492,0.6214070299322706,0.6149503847178048,92,86.99791193008423,cat,1.000,optimize
hp_cat_d7_l23.0_lr0.05,0.6139738926062331,0.6210749724703714,0.006060737566736166,0.6287747765815948,0.6204859862778052,0.6139641545517143,92,66.75458931922913,cat,1.000,optimize
hp_cat_d7_l23.0_lr0.1,0.6119366928429837,0.6195155953879249,0.006597321247137226,0.6280143962625079,0.61860007545652,0.6119323144447465,92,46.539852142333984,cat,1.000,optimize
hp_cat_d7_l25.0_lr0.03,0.6139614629236348,0.6221974082574916,0.006016226496127706,0.6295888269850557,0.6221510370219768,0.6148523607654424,92,90.95820927619934,cat,1.000,optimize
hp_cat_d7_l25.0_lr0.05,0.6142043013108536,0.6209993594163205,0.006041281257253421,0.6283821712969135,0.621031686199474,0.6135842207525739,92,68.47538828849792,cat,1.000,optimize
hp_cat_d7_l25.0_lr0.1,0.6129065906520754,0.6201971568954375,0.006408328249008839,0.6285100659579155,0.6191666683924525,0.6129147363359448,92,48.079041481018066,cat,1.000,optimize
