config_id,nov_auc,cv_mean,cv_std,cv_fold_1,cv_fold_2,cv_fold_3,feature_count,runtime_sec,ensemble_models,weights,weight_strategy
hp_lgb_nl31_mcs30_lr0.03,0.6152048503918028,0.622235457367417,0.006509946957315311,0.6308982882467415,0.6206032334637067,0.6152048503918028,92,852.9283359050751,lgb,1.000,optimize
hp_lgb_nl63_mcs30_lr0.03,0.614949759942113,0.6234147901327523,0.007208463518079326,0.6325666921147576,0.6227279183413862,0.614949759942113,92,584.5185558795929,lgb,1.000,optimize
hp_lgb_nl127_mcs30_lr0.03,0.6151934789773743,0.6228307045264175,0.006654413205400238,0.6314112929515582,0.62188734165032,0.6151934789773743,92,509.6258554458618,lgb,1.000,optimize
hp_lgb_nl31_mcs50_lr0.03,0.6153509205885366,0.6223567692812656,0.006430274616340941,0.630880770258521,0.6208386169967393,0.6153509205885366,92,721.7760825157166,lgb,1.000,optimize
hp_lgb_nl63_mcs50_lr0.03,0.6162779411473744,0.623514709230263,0.006184750041496062,0.6313873370822501,0.6228788494611642,0.6162779411473744,92,641.3752853870392,lgb,1.000,optimize
hp_lgb_nl127_mcs50_lr0.03,0.6162987289127351,0.6236434172551873,0.0061964115878385215,0.6314551985515591,0.623176324301268,0.6162987289127351,92,645.7208662033081,lgb,1.000,optimize
hp_lgb_nl31_mcs100_lr0.03,0.6165069034279531,0.6234107523360887,0.00609204315947503,0.6313260989610457,0.6223992546192669,0.6165069034279531,92,790.1077511310577,lgb,1.000,optimize
hp_lgb_nl63_mcs100_lr0.03,0.6168100308062733,0.6236482919614302,0.006033468790687392,0.6314870103877455,0.6226478346902717,0.6168100308062733,92,730.7760643959045,lgb,1.000,optimize
hp_lgb_nl127_mcs100_lr0.03,0.6154662289666206,0.6233999255425989,0.006748200631585176,0.6319602106295897,0.6227733370315867,0.6154662289666206,92,517.8571970462799,lgb,1.000,optimize
