config_id,nov_auc,cv_mean,cv_std,runtime_sec,feature_count
baseline_v5,0.6323916552221029,0.6398515378297084,0.006614338325967437,486.98058700561523,118
no_dormancy,0.6323436431354483,0.6398515378297084,0.006614338325967437,626.1527233123779,115
no_trend,0.6314734448699874,0.6391883172302851,0.0062394340679504745,734.831182718277,113
pmt_core,0.6317576345890956,0.6404377273636368,0.008491633905723436,573.8022809028625,94
no_dorm_no_trend,0.6313197730286547,0.6391883172302851,0.0062394340679504745,547.4983379840851,110
prune_all_pmt_core,0.6317370853067028,0.6407322043309102,0.007895437766315072,509.16559982299805,86
+lock_name,0.6316429963233094,0.6371276566120259,0.00301794124110505,497.16798305511475,88
+lock_currency,0.6334287443652762,0.6361712984214254,0.0024570896064659846,499.98227095603943,90
hp_31_30,0.6310501680335465,0.6401306730027311,0.008294186271678883,487.8050949573517,86
hp_31_100,0.6323169628534246,0.6408621994291764,0.00828061937879073,510.688649892807,86
hp_127_50,0.631511274230756,0.6399660462710112,0.008356321579761287,479.6544451713562,86
lgb80_rf20,0.6322839379307783,0.6407322043309102,0.007895437766315072,490.5831398963928,86
lgb90_rf10,0.6326489671654799,0.6407322043309102,0.007895437766315072,496.75923109054565,86
lgb_only,0.632860552483977,0.6407322043309102,0.007895437766315072,359.9625861644745,86
